item,list,exp,integrated,related,n2num,text,animacy,LengthChar-Head,LengthChar-Prep,LengthChar-Adj,LengthChar-Noun,LengthPhon-Head,LengthPhon-Prep,LengthPhon-Adj,LengthPhon-Noun,LengthSylHead,LengthSyll-Prep,LengthSyll-Adj,LengthSyll-Noun,Freq1Mil-Head,FreqMil-Prep,FreqMil-Adj,FreqMil-N1,LogFr-Head,LogFreq-Prep,LogFreq-Adj,LogFreq-N1,RelatedHL,RelatedLH,Integrated,Ass%-H-L,Ass%-L-HP,Ass%-L-HS,AssArc-H-L,AssArc-L-HP,AssArc-L-HS,Plausibility,errnd,errd,errcornd,errcord
2,4,SemRel,integ,unrel,plur,The cake with the candy figurines,I,4,4,5,9,3,3,5,9,1,1,2,3,44.84,5044.84,35.55,0.49,1.66,3.7,1.56,0.17,3.92,3.58,3.58,0,0,0,0,0,0,6.33,0,1,20,22
2,3,SemRel,integ,unrel,sing,The cake with the candy figurine,I,4,4,5,8,3,3,5,8,1,1,2,3,44.84,5044.84,35.55,0.27,1.66,3.7,1.56,0.11,2.25,4,3.42,0,0,0,0,0,0,6.45,0,0,23,24
2,6,SemRel,unint,rel,plur,The cake by the colored candles,I,4,2,7,7,3,2,6,6,1,1,2,2,44.84,1212.84,5.06,10.45,1.66,3.08,0.78,1.06,5.17,5.92,5.18,0,0,0,0,0,0,5.08,1,1,19,20
2,5,SemRel,unint,rel,sing,The cake by the colored candle,I,4,2,7,6,3,2,6,5,1,1,2,2,44.84,1212.84,5.06,8,1.66,3.08,0.78,0.95,6,5.42,5,2.5,2.5,0,0.32,0.32,0,5,0,0,19,22
2,8,SemRel,unint,unrel,plur,The cake by the candy figurines,I,4,2,5,9,3,2,5,9,1,1,2,3,44.84,1212.84,35.55,0.49,1.66,3.08,1.56,0.17,3.92,3.58,3.5,0,0,0,0,0,0,5.55,0,0,13,13
2,7,SemRel,unint,unrel,sing,The cake by the candy figurine,I,4,2,5,8,3,2,5,8,1,1,2,3,44.84,1212.84,35.55,0.27,1.66,3.08,1.56,0.11,2.25,4,2.45,0,0,0,0,0,0,6,0,0,11,14
3,2,SemRel,integ,rel,plur,The hammer for the rusty nails,I,6,3,6,5,5,3,5,5,2,1,2,1,10.18,6749.25,4.45,10.82,1.05,3.83,0.74,1.07,6.75,6.83,5.42,2.5,2.5,22.5,0.32,0.32,0.99,6,2,2,19,21
3,1,SemRel,integ,rel,sing,The hammer for the rusty nail,I,6,3,6,4,5,3,5,4,2,1,2,1,10.18,6749.25,4.45,10.45,1.05,3.83,0.74,1.06,7,6.33,5.92,35,0,25,1.27,0,1.05,5.08,0,0,17,17
3,4,SemRel,integ,unrel,plur,The hammer for the rigid pegs,I,6,3,5,4,5,3,5,4,2,1,2,1,10.18,6749.25,1.86,0.25,1.05,3.83,0.46,0.1,5.08,4.08,5.67,0,0,0,0,0,0,5.08,0,0,13,16
3,3,SemRel,integ,unrel,sing,The hammer for the rigid peg,I,6,3,5,3,5,3,5,3,2,1,2,1,10.18,6749.25,1.86,34.51,1.05,3.83,0.46,1.55,5.08,4.83,4.92,0,0,2.5,0,0,0.32,4.92,0,0,14,15
3,6,SemRel,unint,rel,plur,The hammer by the rusty nails,I,6,2,6,5,5,2,5,5,2,1,2,1,10.18,1212.84,4.45,10.82,1.05,3.08,0.74,1.07,6.75,6.83,4.67,2.5,2.5,22.5,0.32,0.32,0.99,6.42,1,1,15,18
3,5,SemRel,unint,rel,sing,The hammer by the rusty nail,I,6,2,6,4,5,2,5,4,2,1,2,1,10.18,1212.84,4.45,10.45,1.05,3.08,0.74,1.06,7,6.33,5.58,35,0,25,1.27,0,1.05,5.92,0,0,18,20
3,8,SemRel,unint,unrel,plur,The hammer by the rigid pegs,I,6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,0,0,0,0,0,0,4.83,1,1,13,15
3,7,SemRel,unint,unrel,sing,The hammer by the rigid peg,I,6,2,5,3,5,2,5,3,2,1,2,1,10.18,1212.84,1.86,34.51,1.05,3.08,0.46,1.55,5.08,4.83,3.42,0,0,2.5,0,0,0.32,5.25,0,1,14,16
4,3,SemRel,integ,rel,plur,The coach for the disciplined athletes,A,5,3,11,8,4,3,9,6,1,1,3,2,29.33,6749.25,0.98,3.08,1.48,3.83,0.3,0.61,6.64,6.58,6.58,0,0,2.5,0,0,0.32,6.67,0,0,15,16
4,2,SemRel,integ,rel,sing,The coach for the disciplined athlete,A,5,3,11,7,4,3,9,5,1,1,3,2,29.33,6749.25,0.98,4.61,1.48,3.83,0.3,0.75,6.5,6.42,5.75,0,0,0,0,0,0,5.92,0,0,7,8
4,5,SemRel,integ,unrel,plur,The coach for the disruptive teenagers,A,5,3,10,9,4,3,9,8,1,1,3,3,29.33,6749.25,0.43,4.29,1.48,3.83,0.16,0.72,3.83,3.58,3.92,0,0,0,0,0,0,5.75,1,1,9,9
4,4,SemRel,integ,unrel,sing,The coach for the disruptive teenager,A,5,3,10,8,4,3,9,7,1,1,3,3,29.33,6749.25,0.43,6.92,1.48,3.83,0.16,0.9,4.25,2.58,3.67,0,0,0,0,0,0,5.33,0,0,10,14
4,7,SemRel,unint,rel,plur,The coach near the disciplined athletes,A,5,4,11,8,4,3,9,6,1,1,3,2,29.33,59.14,0.98,3.08,1.48,1.78,0.3,0.61,6.64,6.58,5.33,0,0,2.5,0,0,0.32,5.75,1,1,7,8
4,6,SemRel,unint,rel,sing,The coach near the disciplined athlete,A,5,4,11,7,4,3,9,5,1,1,3,2,29.33,59.14,0.98,4.61,1.48,1.78,0.3,0.75,6.5,6.42,4.75,0,0,0,0,0,0,6.25,0,0,8,9
4,1,SemRel,unint,unrel,plur,The coach near the disruptive teenagers,A,5,4,10,9,4,3,9,8,1,1,3,3,29.33,59.14,0.43,4.29,1.48,1.78,0.16,0.72,3.83,3.58,2.17,0,0,0,0,0,0,5.25,0,0,9,11
4,8,SemRel,unint,unrel,sing,The coach near the disruptive teenager,A,5,4,10,8,4,3,9,7,1,1,3,3,29.33,59.14,0.43,6.92,1.48,1.78,0.16,0.9,4.25,2.58,3,0,0,0,0,0,0,5.08,0,0,6,9
5,3,SemRel,integ,rel,plur,The tent with the sturdy poles,I,4,4,6,5,4,3,6,4,1,1,2,1,17.39,5044.84,1.69,2.18,1.26,3.7,0.43,0.5,5.55,5.5,6.17,0,0,2.5,0,0,0.32,5.92,0,0,9,9
5,2,SemRel,integ,rel,sing,The tent with the sturdy pole,I,4,4,6,4,4,3,6,3,1,1,2,1,17.39,5044.84,1.69,12.47,1.26,3.7,0.43,1.13,5.83,5.25,6,0,0,2.5,0,0,0.32,6.18,0,0,4,4
5,5,SemRel,integ,unrel,plur,The tent with the sturdy cushions,I,4,4,6,8,4,3,6,6,1,1,2,2,17.39,5044.84,1.69,1.16,1.26,3.7,0.43,0.33,2.08,2.33,3.42,0,0,0,0,0,0,3.42,0,0,20,22
5,4,SemRel,integ,unrel,sing,The tent with the sturdy cushion,I,4,4,6,7,4,3,6,5,1,1,2,2,17.39,5044.84,1.69,1.86,1.26,3.7,0.43,0.46,1.92,2.08,3.67,0,0,0,0,0,0,3.25,0,0,19,21
5,7,SemRel,unint,rel,plur,The tent near the sturdy poles,I,4,4,6,5,4,3,6,4,1,1,2,1,17.39,59.14,1.69,2.18,1.26,1.78,0.43,0.5,5.55,5.5,4.58,0,0,2.5,0,0,0.32,5,1,1,14,15
5,6,SemRel,unint,rel,sing,The tent near the sturdy pole,I,4,4,6,4,4,3,6,3,1,1,2,1,17.39,59.14,1.69,12.47,1.26,1.78,0.43,1.13,5.83,5.25,4.58,0,0,2.5,0,0,0.32,5.67,0,0,7,11
5,1,SemRel,unint,unrel,plur,The tent near the sturdy cushions,I,4,4,6,8,4,3,6,6,1,1,2,2,17.39,59.14,1.69,1.16,1.26,1.78,0.43,0.33,2.08,2.33,1.75,0,0,0,0,0,0,2.5,1,1,17,21
5,8,SemRel,unint,unrel,sing,The tent near the sturdy cushion,I,4,4,6,7,4,3,6,5,1,1,2,2,17.39,59.14,1.69,1.86,1.26,1.78,0.43,0.46,1.92,2.08,1.67,0,0,0,0,0,0,2.83,0,0,13,14
6,3,SemRel,integ,rel,plur,The dam for the murky rivers,I,3,3,5,6,3,3,5,6,1,1,2,2,5.29,6749.25,0.61,2.82,0.8,3.83,0.21,0.58,6,6.25,5.83,0,0,0,0,0,0,5.36,0,0,13,16
6,2,SemRel,integ,rel,sing,The dam for the murky river,I,3,3,5,5,3,3,5,5,1,1,2,2,5.29,6749.25,0.61,55.31,0.8,3.83,0.21,1.75,5.83,6.33,6.17,12.5,0,0,0.72,0,0,5.33,0,0,11,13
6,5,SemRel,integ,unrel,plur,The dam for the musty factories,I,3,3,5,9,3,3,5,8,1,1,2,3,5.29,6749.25,0.49,16.8,0.8,3.83,0.17,1.25,1.92,3.27,3.42,0,2.5,0,0,0.32,0,3,0,0,9,10
6,4,SemRel,integ,unrel,sing,The dam for the musty factory,I,3,3,5,7,3,3,5,7,1,1,2,3,5.29,6749.25,0.49,2.31,0.8,3.83,0.17,0.52,2,3.33,2.67,0,5,0,0,0.45,0,3.25,0,0,13,15
6,7,SemRel,unint,rel,plur,The dam by the murky rivers,I,3,2,5,6,3,2,5,6,1,1,2,2,5.29,1212.84,0.61,2.82,0.8,3.08,0.21,0.58,6,6.25,4.75,0,0,0,0,0,0,5.25,1,1,18,19
6,6,SemRel,unint,rel,sing,The dam by the murky river,I,3,2,5,5,3,2,5,5,1,1,2,2,5.29,1212.84,0.61,55.31,0.8,3.08,0.21,1.75,5.83,6.33,5.45,12.5,0,0,0.72,0,0,5.83,0,0,13,14
6,1,SemRel,unint,unrel,plur,The dam by the musty factories,I,3,2,5,9,3,2,5,8,1,1,2,3,5.29,1212.84,0.49,16.8,0.8,3.08,0.17,1.25,1.92,3.27,2.67,0,2.5,0,0,0.32,0,4.5,0,0,16,19
6,8,SemRel,unint,unrel,sing,The dam by the musty factory,I,3,2,5,7,3,2,5,7,1,1,2,3,5.29,1212.84,0.49,2.31,0.8,3.08,0.17,0.52,2,3.33,2.5,0,5,0,0,0.45,0,4.17,0,0,14,14
7,4,SemRel,integ,rel,plur,The necklace with the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,5044.84,3.14,17.04,1.03,3.7,0.62,1.26,6.33,5.5,6.33,2.5,0,5,0.32,0,0.45,5.33,0,0,18,21
7,3,SemRel,integ,rel,sing,The necklace with the colorful diamond,I,8,4,8,7,6,3,8,6,2,1,3,2,9.71,5044.84,3.14,19.73,1.03,3.7,0.62,1.32,5.92,6.17,6.58,10,0,2.5,0.64,0,0.32,6.67,0,0,19,20
7,6,SemRel,integ,unrel,plur,The necklace with the colorful feathers,I,8,4,8,8,6,3,8,6,2,1,3,2,9.71,5044.84,3.14,5.71,1.03,3.7,0.62,0.83,2.58,1.92,3.67,0,0,0,0,0,0,5,1,1,15,17
7,5,SemRel,integ,unrel,sing,The necklace with the colorful feather,I,8,4,8,7,6,3,8,5,2,1,3,2,9.71,5044.84,3.14,6.51,1.03,3.7,0.62,0.88,1.42,2.75,3.92,0,0,0,0,0,0,5.17,0,0,17,17
7,8,SemRel,unint,rel,plur,The necklace near the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,59.14,3.14,17.04,1.03,1.78,0.62,1.26,6.33,5.5,3.83,2.5,0,5,0.32,0,0.45,4.42,0,1,15,17
7,7,SemRel,unint,rel,sing,The necklace near the colorful diamond,I,8,4,8,7,6,3,8,6,2,1,3,2,9.71,59.14,3.14,19.73,1.03,1.78,0.62,1.32,5.92,6.17,4.58,10,0,2.5,0.64,0,0.32,4.83,0,0,16,17
7,2,SemRel,unint,unrel,plur,The necklace near the colorful feathers,I,8,4,8,8,6,3,8,6,2,1,3,2,9.71,59.14,3.14,5.71,1.03,1.78,0.62,0.83,2.58,1.92,2,0,0,0,0,0,0,4.83,0,0,15,18
7,1,SemRel,unint,unrel,sing,The necklace near the colorful feather,I,8,4,8,7,6,3,8,5,2,1,3,2,9.71,59.14,3.14,6.51,1.03,1.78,0.62,0.88,1.42,2.75,1.67,0,0,0,0,0,0,4.67,0,0,12,14
8,4,SemRel,integ,rel,plur,The fortress with the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,24.16,0.64,3.7,1.35,1.4,6.25,6.33,6.08,0,0,0,0,0,0,6.42,1,1,18,18
8,3,SemRel,integ,rel,sing,The fortress with the ancient wall,I,8,4,7,4,7,3,6,3,2,1,2,1,3.37,5044.84,21.61,66.33,0.64,3.7,1.35,1.83,6,6.33,6.58,0,0,0,0,0,0,6,0,0,16,16
8,6,SemRel,integ,unrel,plur,The fortress with the ancient farms,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,2.76,0.64,3.7,1.35,0.58,1.25,2.92,3.08,0,0,0,0,0,0,3.83,1,1,21,23
8,5,SemRel,integ,unrel,sing,The fortress with the ancient farm,I,8,4,7,4,7,3,6,3,2,1,2,1,3.37,5044.84,21.61,29.76,0.64,3.7,1.35,1.49,2,2.17,2.83,0,0,0,0,0,0,3.75,0,0,16,17
8,8,SemRel,unint,rel,plur,The fortress near the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,24.16,0.64,1.78,1.35,1.4,6.25,6.33,4.58,0,0,0,0,0,0,5.5,1,1,19,20
8,7,SemRel,unint,rel,sing,The fortress near the ancient wall,I,8,4,7,4,7,3,6,3,2,1,2,1,3.37,59.14,21.61,66.33,0.64,1.78,1.35,1.83,6,6.33,4.92,0,0,0,0,0,0,5.25,0,0,20,20
8,2,SemRel,unint,unrel,plur,The fortress near the ancient farms,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,2.76,0.64,1.78,1.35,0.58,1.25,2.92,1.67,0,0,0,0,0,0,5,1,1,21,23
8,1,SemRel,unint,unrel,sing,The fortress near the ancient farm,I,8,4,7,4,7,3,6,3,2,1,2,1,3.37,59.14,21.61,29.76,0.64,1.78,1.35,1.49,2,2.17,2.67,0,0,0,0,0,0,4,0,0,17,18
9,4,SemRel,integ,rel,plur,The butler for the selfish millionaires,A,6,3,7,12,6,3,6,10,2,1,2,3,6.8,6749.25,15.94,1.76,0.89,3.83,1.23,0.44,5.83,4.58,5.18,0,0,0,0,0,0,6.08,1,1,7,7
9,3,SemRel,integ,rel,sing,The butler for the selfish millionaire,A,6,3,7,11,6,3,6,9,2,1,2,3,6.8,6749.25,15.94,5.69,0.89,3.83,1.23,0.83,5.75,5.08,5.42,0,0,0,0,0,0,5.92,0,0,9,9
9,6,SemRel,integ,unrel,plur,The butler for the spoiled kids,A,6,3,7,4,6,3,5,4,2,1,2,1,6.8,6749.25,2.18,300.86,0.89,3.83,0.5,2.48,2.92,2.5,3.42,0,0,0,0,0,0,6.36,0,0,9,10
9,5,SemRel,integ,unrel,sing,The butler for the spoiled kid,A,6,3,7,3,6,3,5,3,2,1,2,1,6.8,6749.25,2.18,327.47,0.89,3.83,0.5,2.52,1.25,1.5,3.67,0,0,0,0,0,0,5.67,0,0,13,13
9,8,SemRel,unint,rel,plur,The butler near the selfish millionaires,A,6,4,7,12,6,3,6,10,2,1,2,3,6.8,59.14,15.94,1.76,0.89,1.78,1.23,0.44,5.83,4.58,3.33,0,0,0,0,0,0,4.92,0,0,10,11
9,7,SemRel,unint,rel,sing,The butler near the selfish millionaire,A,6,4,7,11,6,3,6,9,2,1,2,3,6.8,59.14,15.94,5.69,0.89,1.78,1.23,0.83,5.75,5.08,3.92,0,0,0,0,0,0,5.75,0,0,8,8
9,2,SemRel,unint,unrel,plur,The butler near the spoiled kids,A,6,4,7,4,6,3,5,4,2,1,2,1,6.8,59.14,2.18,300.86,0.89,1.78,0.5,2.48,2.92,2.5,2.92,0,0,0,0,0,0,6,0,0,7,7
9,1,SemRel,unint,unrel,sing,The butler near the spoiled kid,A,6,4,7,3,6,3,5,3,2,1,2,1,6.8,59.14,2.18,327.47,0.89,1.78,0.5,2.52,1.25,1.5,2.33,0,0,0,0,0,0,5.17,0,0,14,14
10,5,SemRel,integ,rel,plur,The vase with the vibrant flowers,I,4,4,7,7,3,3,7,6,1,1,2,2,3.84,5044.84,1.02,46.61,0.69,3.7,0.31,1.68,6.42,6.33,5.58,25,0,0,1.05,0,0,6.5,1,2,16,18
10,4,SemRel,integ,rel,sing,The vase with the vibrant flower,I,4,4,7,6,3,3,7,5,1,1,2,2,3.84,5044.84,1.02,22.14,0.69,3.7,0.31,1.36,5.75,6.78,6,15,0,2.5,0.8,0,0.32,6.67,0,0,14,14
10,7,SemRel,integ,unrel,plur,The vase with the vibrant covers,I,4,4,7,6,3,3,7,6,1,1,2,2,3.84,5044.84,1.02,5.2,0.69,3.7,0.31,0.79,1.25,1.58,3,0,0,0,0,0,0,4.08,0,0,13,14
10,6,SemRel,integ,unrel,sing,The vase with the vibrant cover,I,4,4,7,5,3,3,7,5,1,1,2,2,3.84,5044.84,1.02,34.55,0.69,3.7,0.31,1.55,1.92,2,3.58,0,0,0,0,0,0,5.58,0,0,12,13
10,1,SemRel,unint,rel,plur,The vase near the vibrant flowers,I,4,4,7,7,3,3,7,6,1,1,2,2,3.84,59.14,1.02,46.61,0.69,1.78,0.31,1.68,6.42,6.33,4.67,25,0,0,1.05,0,0,5.83,1,1,16,16
10,8,SemRel,unint,rel,sing,The vase near the vibrant flower,I,4,4,7,6,3,3,7,5,1,1,2,2,3.84,59.14,1.02,22.14,0.69,1.78,0.31,1.36,5.75,6.78,5.08,15,0,2.5,0.8,0,0.32,4,1,1,15,15
10,3,SemRel,unint,unrel,plur,The vase near the vibrant covers,I,4,4,7,6,3,3,7,6,1,1,2,2,3.84,59.14,1.02,5.2,0.69,1.78,0.31,0.79,1.25,1.58,2,0,0,0,0,0,0,4.33,1,1,8,10
10,2,SemRel,unint,unrel,sing,The vase near the vibrant cover,I,4,4,7,5,3,3,7,5,1,1,2,2,3.84,59.14,1.02,34.55,0.69,1.78,0.31,1.55,1.92,2,2.5,0,0,0,0,0,0,4.08,0,0,11,15
11,5,SemRel,integ,rel,plur,The banana for the popular sundaes,I,6,3,7,7,6,3,8,6,3,1,3,2,10.61,6749.25,23.22,0.53,1.06,3.83,1.38,0.18,5.5,5,5.17,0,0,2.5,0,0,0.32,5,3,3,20,21
11,4,SemRel,integ,rel,sing,The banana for the popular sundae,I,6,3,7,6,6,3,8,5,3,1,3,2,10.61,6749.25,23.22,1.59,1.06,3.83,1.38,0.41,5.08,5.75,4.5,0,0,5,0,0,0.45,6.08,0,0,20,22
11,7,SemRel,integ,unrel,plur,The banana for the popular sandwiches,I,6,3,7,10,6,3,8,9,3,1,3,3,10.61,6749.25,23.22,9.61,1.06,3.83,1.38,1.03,3.38,4.92,3.88,0,0,0,0,0,0,3.33,2,2,13,18
11,6,SemRel,integ,unrel,sing,The banana for the popular sandwich,I,6,3,7,8,6,3,8,7,3,1,3,2,10.61,6749.25,23.22,21.47,1.06,3.83,1.38,1.35,3.67,2.18,3.67,0,0,0,0,0,0,3.92,0,0,18,19
11,1,SemRel,unint,rel,plur,The banana near the popular sundaes,I,6,4,7,7,6,3,8,6,3,1,3,2,10.61,59.14,23.22,0.53,1.06,1.78,1.38,0.18,5.5,5,4.17,0,0,2.5,0,0,0.32,3.83,4,4,16,16
11,8,SemRel,unint,rel,sing,The banana near the popular sundae,I,6,4,7,6,6,3,8,5,3,1,3,2,10.61,59.14,23.22,1.59,1.06,1.78,1.38,0.41,5.08,5.75,3.67,0,0,5,0,0,0.45,3.75,0,0,15,17
11,3,SemRel,unint,unrel,plur,The banana near the popular sandwiches,I,6,4,7,10,6,3,8,9,3,1,3,3,10.61,59.14,23.22,9.61,1.06,1.78,1.38,1.03,3.38,4.92,2.42,0,0,0,0,0,0,4.25,3,3,20,23
11,2,SemRel,unint,unrel,sing,The banana near the popular sandwich,I,6,4,7,8,6,3,8,7,3,1,3,2,10.61,59.14,23.22,21.47,1.06,1.78,1.38,1.35,3.67,2.18,2.58,0,0,0,0,0,0,4.58,0,0,19,21
12,5,SemRel,integ,rel,plur,The bodyguard for the nervous actresses,A,9,3,7,9,8,3,6,8,3,1,2,3,5.71,6749.25,67.04,2.25,0.83,3.83,1.83,0.51,3.92,5.42,4.83,0,0,0,0,0,0,5.67,1,1,6,7
12,4,SemRel,integ,rel,sing,The bodyguard for the nervous actress,A,9,3,7,7,8,3,6,6,3,1,2,2,5.71,6749.25,67.04,15.96,0.83,3.83,1.83,1.23,4.83,4.09,5.25,0,0,0,0,0,0,6.17,0,0,18,19
12,7,SemRel,integ,unrel,plur,The bodyguard for the nervous jewelers,A,9,3,7,8,8,3,6,8,3,1,2,3,5.71,6749.25,67.04,0.43,0.83,3.83,1.83,0.16,2.42,3.33,3.75,0,0,0,0,0,0,5.25,1,2,12,14
12,6,SemRel,integ,unrel,sing,The bodyguard for the nervous jeweler,A,9,3,7,7,8,3,6,7,3,1,2,3,5.71,6749.25,67.04,1,0.83,3.83,1.83,0.3,2.64,3.08,3.33,0,0,0,0,0,0,4.83,0,0,8,11
12,1,SemRel,unint,rel,plur,The bodyguard near the nervous actresses,A,9,4,7,9,8,3,6,8,3,1,2,3,5.71,59.14,67.04,2.25,0.83,1.78,1.83,0.51,3.92,5.42,4.92,0,0,0,0,0,0,6,1,1,6,7
12,8,SemRel,unint,rel,sing,The bodyguard near the nervous actress,A,9,4,7,7,8,3,6,6,3,1,2,2,5.71,59.14,67.04,15.96,0.83,1.78,1.83,1.23,4.83,4.09,4.58,0,0,0,0,0,0,6.75,0,0,9,9
12,3,SemRel,unint,unrel,plur,The bodyguard near the nervous jewelers,A,9,4,7,8,8,3,6,8,3,1,2,3,5.71,59.14,67.04,0.43,0.83,1.78,1.83,0.16,2.42,3.33,2.09,0,0,0,0,0,0,4.58,1,1,10,11
12,2,SemRel,unint,unrel,sing,The bodyguard near the nervous jeweler,A,9,4,7,7,8,3,6,7,3,1,2,3,5.71,59.14,67.04,1,0.83,1.78,1.83,0.3,2.64,3.08,2.67,0,0,0,0,0,0,5.25,0,0,7,9
13,6,SemRel,integ,rel,plur,The bicycle with the warped tires,I,7,4,6,5,8,3,4,5,3,1,1,1,6.55,5044.84,1.35,2.67,0.88,3.7,0.37,0.56,6.17,6.25,6,0,0,0,0,0,0,5.58,0,0,10,10
13,5,SemRel,integ,rel,sing,The bicycle with the warped tire,I,7,4,6,4,8,3,4,4,3,1,1,1,6.55,5044.84,1.35,2.43,0.88,3.7,0.37,0.54,6.67,5.42,5.75,2.5,0,0,0.32,0,0,5.58,0,0,10,12
13,8,SemRel,integ,unrel,plur,The bicycle with the warped baskets,I,7,4,6,7,8,3,4,7,3,1,1,2,6.55,5044.84,1.35,1.61,0.88,3.7,0.37,0.42,4.58,3,5,0,0,0,0,0,0,4.58,3,3,8,9
13,7,SemRel,integ,unrel,sing,The bicycle with the warped basket,I,7,4,6,6,8,3,4,6,3,1,1,2,6.55,5044.84,1.35,13.18,0.88,3.7,0.37,1.15,4.58,4.42,4.83,0,0,0,0,0,0,6.33,0,0,14,16
13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,I,7,2,6,5,8,2,4,5,3,1,1,1,6.55,1212.84,1.35,2.67,0.88,3.08,0.37,0.56,6.17,6.25,4.08,0,0,0,0,0,0,4.75,0,0,4,8
13,1,SemRel,unint,rel,sing,The bicycle by the warped tire,I,7,2,6,4,8,2,4,4,3,1,1,1,6.55,1212.84,1.35,2.43,0.88,3.08,0.37,0.54,6.67,5.42,5.08,2.5,0,0,0.32,0,0,5.33,0,0,14,18
13,4,SemRel,unint,unrel,plur,The bicycle by the warped baskets,I,7,2,6,7,8,2,4,7,3,1,1,2,6.55,1212.84,1.35,1.61,0.88,3.08,0.37,0.42,4.58,3,3.5,0,0,0,0,0,0,4.42,1,1,19,19
13,3,SemRel,unint,unrel,sing,The bicycle by the warped basket,I,7,2,6,6,8,2,4,6,3,1,1,2,6.55,1212.84,1.35,13.18,0.88,3.08,0.37,1.15,4.58,4.42,2.83,0,0,0,0,0,0,4,0,0,13,16
14,6,SemRel,integ,rel,plur,The caddy for the charismatic golfers,A,5,3,11,7,4,3,10,7,2,1,4,2,2.73,6749.25,0.8,0.55,0.57,3.83,0.26,0.19,6.83,6.42,5.58,0,2.5,2.5,0,0.32,0.32,6.42,1,1,9,11
