item,list,exp,integrated,related,n2num,text,animacy,LengthChar-Head,LengthChar-Prep,LengthChar-Adj,LengthChar-Noun,LengthPhon-Head,LengthPhon-Prep,LengthPhon-Adj,LengthPhon-Noun,LengthSylHead,LengthSyll-Prep,LengthSyll-Adj,LengthSyll-Noun,Freq1Mil-Head,FreqMil-Prep,FreqMil-Adj,FreqMil-N1,LogFr-Head,LogFreq-Prep,LogFreq-Adj,LogFreq-N1,RelatedHL,RelatedLH,Integrated,Plausibility,errnd,errd,errcornd,errcord
3,6,SemRel,unint,rel,plur,The hammer by the rusty nails,I,6,2,6,5,5,2,5,5,2,1,2,1,10.18,1212.84,4.45,10.82,1.05,3.08,0.74,1.07,6.75,6.83,4.67,6.42,1,1,15,18
3,8,SemRel,unint,unrel,plur,The hammer by the rigid pegs,I,6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,4.83,1,1,13,15
4,3,SemRel,integ,rel,plur,The coach for the disciplined athletes,A,5,3,11,8,4,3,9,6,1,1,3,2,29.33,6749.25,0.98,3.08,1.48,3.83,0.3,0.61,6.64,6.58,6.58,6.67,0,0,15,16
4,5,SemRel,integ,unrel,plur,The coach for the disruptive teenagers,A,5,3,10,9,4,3,9,8,1,1,3,3,29.33,6749.25,0.43,4.29,1.48,3.83,0.16,0.72,3.83,3.58,3.92,5.75,1,1,9,9
4,7,SemRel,unint,rel,plur,The coach near the disciplined athletes,A,5,4,11,8,4,3,9,6,1,1,3,2,29.33,59.14,0.98,3.08,1.48,1.78,0.3,0.61,6.64,6.58,5.33,5.75,1,1,7,8
4,1,SemRel,unint,unrel,plur,The coach near the disruptive teenagers,A,5,4,10,9,4,3,9,8,1,1,3,3,29.33,59.14,0.43,4.29,1.48,1.78,0.16,0.72,3.83,3.58,2.17,5.25,0,0,9,11
5,3,SemRel,integ,rel,plur,The tent with the sturdy poles,I,4,4,6,5,4,3,6,4,1,1,2,1,17.39,5044.84,1.69,2.18,1.26,3.7,0.43,0.5,5.55,5.5,6.17,5.92,0,0,9,9
5,5,SemRel,integ,unrel,plur,The tent with the sturdy cushions,I,4,4,6,8,4,3,6,6,1,1,2,2,17.39,5044.84,1.69,1.16,1.26,3.7,0.43,0.33,2.08,2.33,3.42,3.42,0,0,20,22
5,7,SemRel,unint,rel,plur,The tent near the sturdy poles,I,4,4,6,5,4,3,6,4,1,1,2,1,17.39,59.14,1.69,2.18,1.26,1.78,0.43,0.5,5.55,5.5,4.58,5,1,1,14,15
5,1,SemRel,unint,unrel,plur,The tent near the sturdy cushions,I,4,4,6,8,4,3,6,6,1,1,2,2,17.39,59.14,1.69,1.16,1.26,1.78,0.43,0.33,2.08,2.33,1.75,2.5,1,1,17,21
6,3,SemRel,integ,rel,plur,The dam for the murky rivers,I,3,3,5,6,3,3,5,6,1,1,2,2,5.29,6749.25,0.61,2.82,0.8,3.83,0.21,0.58,6,6.25,5.83,5.36,0,0,13,16
6,5,SemRel,integ,unrel,plur,The dam for the musty factories,I,3,3,5,9,3,3,5,8,1,1,2,3,5.29,6749.25,0.49,16.8,0.8,3.83,0.17,1.25,1.92,3.27,3.42,3,0,0,9,10
6,7,SemRel,unint,rel,plur,The dam by the murky rivers,I,3,2,5,6,3,2,5,6,1,1,2,2,5.29,1212.84,0.61,2.82,0.8,3.08,0.21,0.58,6,6.25,4.75,5.25,1,1,18,19
6,1,SemRel,unint,unrel,plur,The dam by the musty factories,I,3,2,5,9,3,2,5,8,1,1,2,3,5.29,1212.84,0.49,16.8,0.8,3.08,0.17,1.25,1.92,3.27,2.67,4.5,0,0,16,19
7,4,SemRel,integ,rel,plur,The necklace with the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,5044.84,3.14,17.04,1.03,3.7,0.62,1.26,6.33,5.5,6.33,5.33,0,0,18,21
7,6,SemRel,integ,unrel,plur,The necklace with the colorful feathers,I,8,4,8,8,6,3,8,6,2,1,3,2,9.71,5044.84,3.14,5.71,1.03,3.7,0.62,0.83,2.58,1.92,3.67,5,1,1,15,17
7,8,SemRel,unint,rel,plur,The necklace near the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,59.14,3.14,17.04,1.03,1.78,0.62,1.26,6.33,5.5,3.83,4.42,0,1,15,17
7,2,SemRel,unint,unrel,plur,The necklace near the colorful feathers,I,8,4,8,8,6,3,8,6,2,1,3,2,9.71,59.14,3.14,5.71,1.03,1.78,0.62,0.83,2.58,1.92,2,4.83,0,0,15,18
8,4,SemRel,integ,rel,plur,The fortress with the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,24.16,0.64,3.7,1.35,1.4,6.25,6.33,6.08,6.42,1,1,18,18
8,6,SemRel,integ,unrel,plur,The fortress with the ancient farms,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,2.76,0.64,3.7,1.35,0.58,1.25,2.92,3.08,3.83,1,1,21,23
8,8,SemRel,unint,rel,plur,The fortress near the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,24.16,0.64,1.78,1.35,1.4,6.25,6.33,4.58,5.5,1,1,19,20
8,2,SemRel,unint,unrel,plur,The fortress near the ancient farms,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,2.76,0.64,1.78,1.35,0.58,1.25,2.92,1.67,5,1,1,21,23
9,4,SemRel,integ,rel,plur,The butler for the selfish millionaires,A,6,3,7,12,6,3,6,10,2,1,2,3,6.8,6749.25,15.94,1.76,0.89,3.83,1.23,0.44,5.83,4.58,5.18,6.08,1,1,7,7
9,6,SemRel,integ,unrel,plur,The butler for the spoiled kids,A,6,3,7,4,6,3,5,4,2,1,2,1,6.8,6749.25,2.18,300.86,0.89,3.83,0.5,2.48,2.92,2.5,3.42,6.36,0,0,9,10
9,8,SemRel,unint,rel,plur,The butler near the selfish millionaires,A,6,4,7,12,6,3,6,10,2,1,2,3,6.8,59.14,15.94,1.76,0.89,1.78,1.23,0.44,5.83,4.58,3.33,4.92,0,0,10,11
9,2,SemRel,unint,unrel,plur,The butler near the spoiled kids,A,6,4,7,4,6,3,5,4,2,1,2,1,6.8,59.14,2.18,300.86,0.89,1.78,0.5,2.48,2.92,2.5,2.92,6,0,0,7,7
10,5,SemRel,integ,rel,plur,The vase with the vibrant flowers,I,4,4,7,7,3,3,7,6,1,1,2,2,3.84,5044.84,1.02,46.61,0.69,3.7,0.31,1.68,6.42,6.33,5.58,6.5,1,2,16,18
10,7,SemRel,integ,unrel,plur,The vase with the vibrant covers,I,4,4,7,6,3,3,7,6,1,1,2,2,3.84,5044.84,1.02,5.2,0.69,3.7,0.31,0.79,1.25,1.58,3,4.08,0,0,13,14
10,1,SemRel,unint,rel,plur,The vase near the vibrant flowers,I,4,4,7,7,3,3,7,6,1,1,2,2,3.84,59.14,1.02,46.61,0.69,1.78,0.31,1.68,6.42,6.33,4.67,5.83,1,1,16,16
10,3,SemRel,unint,unrel,plur,The vase near the vibrant covers,I,4,4,7,6,3,3,7,6,1,1,2,2,3.84,59.14,1.02,5.2,0.69,1.78,0.31,0.79,1.25,1.58,2,4.33,1,1,8,10
11,5,SemRel,integ,rel,plur,The banana for the popular sundaes,I,6,3,7,7,6,3,8,6,3,1,3,2,10.61,6749.25,23.22,0.53,1.06,3.83,1.38,0.18,5.5,5,5.17,5,3,3,20,21
11,7,SemRel,integ,unrel,plur,The banana for the popular sandwiches,I,6,3,7,10,6,3,8,9,3,1,3,3,10.61,6749.25,23.22,9.61,1.06,3.83,1.38,1.03,3.38,4.92,3.88,3.33,2,2,13,18
11,1,SemRel,unint,rel,plur,The banana near the popular sundaes,I,6,4,7,7,6,3,8,6,3,1,3,2,10.61,59.14,23.22,0.53,1.06,1.78,1.38,0.18,5.5,5,4.17,3.83,4,4,16,16
11,3,SemRel,unint,unrel,plur,The banana near the popular sandwiches,I,6,4,7,10,6,3,8,9,3,1,3,3,10.61,59.14,23.22,9.61,1.06,1.78,1.38,1.03,3.38,4.92,2.42,4.25,3,3,20,23
12,5,SemRel,integ,rel,plur,The bodyguard for the nervous actresses,A,9,3,7,9,8,3,6,8,3,1,2,3,5.71,6749.25,67.04,2.25,0.83,3.83,1.83,0.51,3.92,5.42,4.83,5.67,1,1,6,7
12,7,SemRel,integ,unrel,plur,The bodyguard for the nervous jewelers,A,9,3,7,8,8,3,6,8,3,1,2,3,5.71,6749.25,67.04,0.43,0.83,3.83,1.83,0.16,2.42,3.33,3.75,5.25,1,2,12,14
12,1,SemRel,unint,rel,plur,The bodyguard near the nervous actresses,A,9,4,7,9,8,3,6,8,3,1,2,3,5.71,59.14,67.04,2.25,0.83,1.78,1.83,0.51,3.92,5.42,4.92,6,1,1,6,7
12,3,SemRel,unint,unrel,plur,The bodyguard near the nervous jewelers,A,9,4,7,8,8,3,6,8,3,1,2,3,5.71,59.14,67.04,0.43,0.83,1.78,1.83,0.16,2.42,3.33,2.09,4.58,1,1,10,11
13,6,SemRel,integ,rel,plur,The bicycle with the warped tires,I,7,4,6,5,8,3,4,5,3,1,1,1,6.55,5044.84,1.35,2.67,0.88,3.7,0.37,0.56,6.17,6.25,6,5.58,0,0,10,10
13,8,SemRel,integ,unrel,plur,The bicycle with the warped baskets,I,7,4,6,7,8,3,4,7,3,1,1,2,6.55,5044.84,1.35,1.61,0.88,3.7,0.37,0.42,4.58,3,5,4.58,3,3,8,9
13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,I,7,2,6,5,8,2,4,5,3,1,1,1,6.55,1212.84,1.35,2.67,0.88,3.08,0.37,0.56,6.17,6.25,4.08,4.75,0,0,4,8
13,4,SemRel,unint,unrel,plur,The bicycle by the warped baskets,I,7,2,6,7,8,2,4,7,3,1,1,2,6.55,1212.84,1.35,1.61,0.88,3.08,0.37,0.42,4.58,3,3.5,4.42,1,1,19,19
14,6,SemRel,integ,rel,plur,The caddy for the charismatic golfers,A,5,3,11,7,4,3,10,7,2,1,4,2,2.73,6749.25,0.8,0.55,0.57,3.83,0.26,0.19,6.83,6.42,5.58,6.42,1,1,9,11
14,8,SemRel,integ,unrel,plur,The caddy for the charismatic celebrities,A,5,3,11,11,4,3,10,10,2,1,4,4,2.73,6749.25,0.8,7.27,0.57,3.83,0.26,0.92,2.25,1.17,3,5.17,0,0,7,10
14,2,SemRel,unint,rel,plur,The caddy near the charismatic golfers,A,5,4,11,7,4,3,10,7,2,1,4,2,2.73,59.14,0.8,0.55,0.57,1.78,0.26,0.19,6.83,6.42,5.08,6.08,1,1,9,11
14,4,SemRel,unint,unrel,plur,The caddy near the charismatic celebrities,A,5,4,11,11,4,3,10,10,2,1,4,4,2.73,59.14,0.8,7.27,0.57,1.78,0.26,0.92,2.25,1.17,2.33,5.58,0,0,5,5
15,6,SemRel,integ,rel,plur,The church with the giant crosses,I,6,4,5,7,6,3,5,6,1,1,2,2,68.73,5044.84,20.18,2.33,1.84,3.7,1.33,0.52,6.67,6.33,6.67,6.67,0,1,14,15
15,8,SemRel,integ,unrel,plur,The church with the giant driveways,I,6,4,5,9,6,3,5,7,1,1,2,2,68.73,5044.84,20.18,0.2,1.84,3.7,1.33,0.08,1.92,2.42,3.08,5,1,1,16,17
15,2,SemRel,unint,rel,plur,The church near the giant crosses,I,6,4,5,7,6,3,5,6,1,1,2,2,68.73,59.14,20.18,2.33,1.84,1.78,1.33,0.52,6.67,6.33,5.17,5.75,1,1,18,20
15,4,SemRel,unint,unrel,plur,The church near the giant driveways,I,6,4,5,9,6,3,5,7,1,1,2,2,68.73,59.14,20.18,0.2,1.84,1.78,1.33,0.08,1.92,2.42,2.25,5.42,0,0,18,18
16,7,SemRel,integ,rel,plur,The eraser for the novelty pencils,I,6,3,7,7,6,3,7,7,3,1,3,2,1,6749.25,1.67,2.84,0.3,3.83,0.43,0.58,6.67,6.75,6.42,5.75,5,6,11,13
16,1,SemRel,integ,unrel,plur,The eraser for the novelty pens,I,6,3,7,4,6,3,7,4,3,1,3,1,1,6749.25,1.67,2.51,0.3,3.83,0.43,0.55,3.33,5.11,4.08,4.25,3,4,10,11
16,3,SemRel,unint,rel,plur,The eraser near the novelty pencils,I,6,4,7,7,6,3,7,7,3,1,3,2,1,59.14,1.67,2.84,0.3,1.78,0.43,0.58,6.67,6.75,4.58,6.42,1,3,15,18
16,5,SemRel,unint,unrel,plur,The eraser near the novelty pens,I,6,4,7,4,6,3,7,4,3,1,3,1,1,59.14,1.67,2.51,0.3,1.78,0.43,0.55,3.33,5.11,2.58,5,1,1,17,18
17,7,SemRel,integ,rel,plur,The waitress for the impatient diners,A,8,3,9,6,6,3,8,6,2,1,3,2,9.67,6749.25,4.04,0.78,1.03,3.83,0.7,0.25,6.75,5.92,6,5.5,0,0,8,8
17,1,SemRel,integ,unrel,plur,The waitress for the impatient seniors,A,8,3,9,7,6,3,8,6,2,1,3,2,9.67,6749.25,4.04,2.43,1.03,3.83,0.7,0.54,2.17,1.75,3.08,5.33,0,0,9,9
17,3,SemRel,unint,rel,plur,The waitress by the impatient diners,A,8,2,9,6,6,2,8,6,2,1,3,2,9.67,1212.84,4.04,0.78,1.03,3.08,0.7,0.25,6.75,5.92,5.17,5.17,0,0,7,7
17,5,SemRel,unint,unrel,plur,The waitress by the impatient seniors,A,8,2,9,7,6,2,8,6,2,1,3,2,9.67,1212.84,4.04,2.43,1.03,3.08,0.7,0.54,2.17,1.75,2.67,6.25,0,0,9,11
18,7,SemRel,integ,rel,plur,The table for the antique chairs,I,5,3,7,6,5,3,5,5,2,1,2,1,105.2,6749.25,4.35,9.86,2.03,3.83,0.73,1.04,6.5,6.75,6,5.42,1,3,17,20
18,1,SemRel,integ,unrel,plur,The table for the antique lamps,I,5,3,7,5,5,3,5,5,2,1,2,1,105.2,6749.25,4.35,2.06,2.03,3.83,0.73,0.49,5.33,5,4.25,6.42,0,0,19,19
18,3,SemRel,unint,rel,plur,The table by the antique chairs,I,5,2,7,6,5,2,5,5,2,1,2,1,105.2,1212.84,4.35,9.86,2.03,3.08,0.73,1.04,6.5,6.75,5.67,6,2,2,22,23
18,5,SemRel,unint,unrel,plur,The table by the antique lamps,I,5,2,7,5,5,2,5,5,2,1,2,1,105.2,1212.84,4.35,2.06,2.03,3.08,0.73,0.49,5.33,5,3.67,6.25,0,0,22,23
19,8,SemRel,integ,rel,plur,The resort with the elongated pools,I,6,4,9,5,6,3,9,4,2,1,4,1,6.65,6749.25,0.31,2.29,0.88,3.83,0.12,0.52,6.25,6.17,4.92,6.17,1,2,12,14
19,2,SemRel,integ,unrel,plur,The resort with the elaborate gardens,I,6,4,9,7,6,3,8,6,2,1,4,2,6.65,6749.25,2.98,4.02,0.88,3.83,0.6,0.7,2.38,3.33,4.13,6.5,2,2,17,17
19,4,SemRel,unint,rel,plur,The resort near the elongated pools,I,6,4,9,5,6,3,9,4,2,1,4,1,6.65,59.14,0.31,2.29,0.88,1.78,0.12,0.52,6.25,6.17,3.92,5.75,0,0,13,13
19,6,SemRel,unint,unrel,plur,The resort near the elaborate gardens,I,6,4,9,7,6,3,8,6,2,1,4,2,6.65,59.14,2.98,4.02,0.88,1.78,0.6,0.7,2.38,3.33,2.92,5.17,0,0,18,18
20,8,SemRel,integ,rel,plur,The hydrant with the bent hoses,I,7,4,5,5,8,3,4,5,2,1,1,2,1,5044.84,1.02,1.08,0.3,3.7,0.31,0.32,6.33,4.27,5.92,3.67,2,2,10,11
20,2,SemRel,integ,unrel,plur,The hydrant with the bright reflectors,I,7,4,6,10,8,3,4,10,2,1,1,3,1,5044.84,42.31,0.14,0.3,3.7,1.64,0.06,2.08,2,3.83,4.92,0,0,6,8
20,4,SemRel,unint,rel,plur,The hydrant near the bent hoses,I,7,4,5,5,8,3,4,5,2,1,1,2,1,59.14,1.02,1.08,0.3,1.78,0.31,0.32,6.33,4.27,4.5,4.58,0,0,11,13
20,6,SemRel,unint,unrel,plur,The hydrant near the bright reflectors,I,7,4,6,10,8,3,4,10,2,1,1,3,1,59.14,42.31,0.14,0.3,1.78,1.64,0.06,2.08,2,2.42,3.83,1,1,12,15
21,8,SemRel,integ,rel,plur,The guitar with the faulty strings,I,6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,5.92,0,0,5,6
21,2,SemRel,integ,unrel,plur,The guitar with the faulty pedals,I,6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,2.5,0,0,7,7
21,4,SemRel,unint,rel,plur,The guitar near the faulty strings,I,6,4,7,7,5,3,5,6,2,1,2,1,15.53,59.14,1.63,8.1,1.22,1.78,0.42,0.96,6.83,6.58,6.08,4.17,1,1,6,8
21,6,SemRel,unint,unrel,plur,The guitar near the faulty pedals,I,6,4,6,6,5,3,5,6,2,1,2,2,15.53,59.14,1.63,0.75,1.22,1.78,0.42,0.24,3.75,3.13,3.58,3.83,0,1,8,11
22,1,SemRel,integ,rel,plur,The trainer for the confident boxers,A,7,3,9,6,6,3,9,7,2,1,3,2,5.49,6749.25,10.65,1.98,0.81,3.83,1.07,0.47,6.33,6,5.17,5.67,1,1,12,12
22,3,SemRel,integ,unrel,plur,The trainer for the confident actors,A,7,3,9,6,6,3,9,6,2,1,3,2,5.49,6749.25,10.65,12.59,0.81,3.83,1.07,1.13,4.17,3.86,4.83,5.17,0,0,11,11
22,5,SemRel,unint,rel,plur,The trainer near the confident boxers,A,7,4,9,6,6,3,9,7,2,1,3,2,5.49,59.14,10.65,1.98,0.81,1.78,1.07,0.47,6.33,6,3.92,5,1,1,10,12
22,7,SemRel,unint,unrel,plur,The trainer near the confident actors,A,7,4,9,6,6,3,9,6,2,1,3,2,5.49,59.14,10.65,12.59,0.81,1.78,1.07,1.13,4.17,3.86,2.83,6.17,0,0,8,8
23,1,SemRel,integ,rel,plur,The canoe with the weathered oars,I,5,4,9,4,4,3,5,4,2,1,2,1,3.53,5044.84,0.18,1.08,0.66,3.7,0.07,0.32,5.42,6.58,5.67,6,0,0,14,15
23,3,SemRel,integ,unrel,plur,The canoe with the weathered flags,I,5,4,9,5,4,3,5,5,2,1,2,1,3.53,5044.84,0.18,3.41,0.66,3.7,0.07,0.64,1.58,1.67,2.67,3.67,0,0,13,14
23,5,SemRel,unint,rel,plur,The canoe near the weathered oars,I,5,4,9,4,4,3,5,4,2,1,2,1,3.53,59.14,0.18,1.08,0.66,1.78,0.07,0.32,5.42,6.58,4.75,5.58,1,1,13,14
23,7,SemRel,unint,unrel,plur,The canoe near the weathered flags,I,5,4,9,5,4,3,5,5,2,1,2,1,3.53,59.14,0.18,3.41,0.66,1.78,0.07,0.64,1.58,1.67,2.33,4.67,0,1,11,15
24,1,SemRel,integ,rel,plur,The camera with the special lenses,I,6,4,7,6,6,3,6,6,3,1,2,2,56.9,5044.84,148.2,2.27,1.76,3.7,2.17,0.52,6.08,6.5,6.58,6.33,2,2,17,17
24,3,SemRel,integ,unrel,plur,The camera with the special manuals,I,6,4,7,7,6,3,6,8,3,1,2,3,56.9,5044.84,148.2,0.61,1.76,3.7,2.17,0.21,3.92,4,5.42,5.92,2,2,22,23
24,5,SemRel,unint,rel,plur,The camera by the special lenses,I,6,2,7,6,6,2,6,6,3,1,2,2,56.9,1212.84,148.2,2.27,1.76,3.08,2.17,0.52,6.08,6.5,5.67,5,1,1,17,17
24,7,SemRel,unint,unrel,plur,The camera by the special manuals,I,6,2,7,7,6,2,6,8,3,1,2,3,56.9,1212.84,148.2,0.61,1.76,3.08,2.17,0.21,3.92,4,2.92,5.5,1,2,15,16
1,1,Cat,unint,rel,plur,The fork near the plastic ladles,I,4,4,7,6,4,3,7,6,1,1,2,2,8.8,59.14,18.76,0.2,0.99,1.78,1.3,0.08,4.5,3.08,4,4.67,2,3,21,22
1,3,Cat,unint,unrel,plur,The fork near the plastic lemons,I,4,4,7,6,4,3,7,6,1,1,2,2,8.8,59.14,18.76,1.65,0.99,1.78,1.3,0.42,1.58,1.58,2.58,3.88,3,3,21,22
2,1,Cat,unint,rel,plur,The magazine under the tattered novels,I,8,5,8,6,7,5,6,6,3,2,2,2,33.14,235.35,0.24,3.18,1.53,2.37,0.09,0.62,4.5,4.92,4,5.83,2,2,21,21
2,3,Cat,unint,unrel,plur,The magazine under the tattered necklaces,I,8,5,8,9,7,5,6,8,3,2,2,2,33.14,235.35,0.24,0.78,1.53,2.37,0.09,0.25,1.42,1.33,2.5,4.08,4,4,14,16
3,1,Cat,unint,rel,plur,The robin by the frightened chickens,A,5,2,10,8,5,3,8,7,2,1,2,2,1.71,1212.84,15.92,10.24,0.43,3.08,1.23,1.05,4.25,4.17,2.33,4.33,0,0,10,10
3,3,Cat,unint,unrel,plur,The robin by the frightened chipmunks,A,5,2,10,9,5,3,8,9,2,1,2,2,1.71,1212.84,15.92,0.24,0.43,3.08,1.23,0.09,3.42,2.83,3.08,4.67,0,0,5,7
4,1,Cat,unint,rel,plur,The knife beside the heavy clubs,I,5,6,5,5,4,6,4,5,1,2,2,1,46.55,14.96,47.04,10.41,1.68,1.2,1.68,1.06,2.5,2.92,3,4.42,0,0,20,21
4,3,Cat,unint,unrel,plur,The knife beside the heavy cans,I,5,6,5,4,4,6,4,4,1,2,2,1,46.55,14.96,47.04,7.37,1.68,1.2,1.68,0.92,1.58,2.17,2.08,4.42,0,0,20,20
5,1,Cat,unint,rel,plur,The elephant beside the lazy tigers,A,8,6,4,6,7,6,4,7,3,2,2,2,11.31,14.96,11.57,4.31,1.09,1.2,1.1,0.73,4.33,4,3.08,4.46,1,1,16,18
5,3,Cat,unint,unrel,plur,The elephant beside the lazy turtles,A,8,6,4,7,7,6,4,7,3,2,2,2,11.31,14.96,11.57,3,1.09,1.2,1.1,0.6,3.58,3.42,2.92,4.17,0,0,16,16
6,1,Cat,unint,rel,plur,The monastery near the ancient chapels,I,9,4,7,7,9,3,7,7,4,1,2,2,3.69,59.14,21.61,0.22,0.67,1.78,1.35,0.08,5.33,6.5,3.25,5.78,1,2,17,18
6,3,Cat,unint,unrel,plur,The monastery near the ancient castles,I,9,4,7,7,9,3,7,6,4,1,2,2,3.69,59.14,21.61,0.88,0.67,1.78,1.35,0.27,3,3.67,4.25,6.04,1,1,21,22
7,2,Cat,unint,rel,plur,The rake beside the muddy gloves,I,4,6,5,6,3,6,4,5,1,2,2,1,1.18,14.96,2.98,16.2,0.34,1.2,0.6,1.24,2.67,3.33,3.42,5.96,0,0,20,21
7,4,Cat,unint,unrel,plur,The rake beside the muddy graves,I,4,6,5,6,3,6,4,5,1,2,2,1,1.18,14.96,2.98,5.57,0.34,1.2,0.6,0.82,2.5,1.75,2.75,5.08,0,0,18,18
8,2,Cat,unint,rel,plur,The shovel near the cracked buckets,I,6,4,7,7,5,3,5,6,2,1,1,2,6.06,59.14,1.25,2.78,0.85,1.78,0.35,0.58,3.58,4.58,3.42,5.63,1,1,28,29
8,4,Cat,unint,unrel,plur,The shovel near the cracked boulders,I,6,4,7,8,5,3,5,7,2,1,1,2,6.06,59.14,1.25,0.39,0.85,1.78,0.35,0.14,2.83,1.5,3.58,4.96,1,1,25,27
9,2,Cat,unint,rel,plur,The spider by the aggressive bees,A ,6,2,10,4,7,3,7,3,2,1,3,1,10.08,1212.84,7.94,5.27,1.04,3.08,0.95,0.8,4.75,4.83,3,4.63,1,1,12,12
9,4,Cat,unint,unrel,plur,The spider by the aggressive bears,A ,6,2,10,5,7,3,7,4,2,1,3,1,10.08,1212.84,7.94,9.24,1.04,3.08,0.95,1.01,2.25,2.5,1.58,3.54,0,0,15,16
10,2,Cat,unint,rel,plur,The kayak beside the large ferries,I,5,6,5,7,5,6,5,5,2,2,1,2,0.51,14.96,38.49,0.12,0.18,1.2,1.6,0.05,4.25,4,2.33,4.54,3,3,14,16
10,4,Cat,unint,unrel,plur,The kayak beside the large flagpoles,I,5,6,5,9,5,6,5,8,2,2,1,2,0.51,14.96,38.49,0.06,0.18,1.2,1.6,0.02,1.33,1.5,2.25,4.04,0,0,17,18
11,2,Cat,unint,rel,plur,The treasurer beside the eager senators,A,9,6,5,8,8,6,4,8,3,2,2,3,1.12,14.96,6.82,2.41,0.33,1.2,0.89,0.53,4,3.92,3.17,4.74,0,0,8,9
11,4,Cat,unint,unrel,plur,The treasurer beside the eager supporters,A,9,6,5,10,8,6,4,9,3,2,2,3,1.12,14.96,6.82,1.04,0.33,1.2,0.89,0.31,2.42,3.42,2.58,4.67,0,0,3,4
12,2,Cat,unint,rel,plur,The horse beyond the young rabbits,A,5,6,5,7,4,5,3,6,1,2,1,2,92.06,38.25,233.1,6.45,1.97,1.59,2.37,0.87,3.83,3.58,2.92,4.61,0,0,18,18
12,4,Cat,unint,unrel,plur,The horse beyond the young ravens,A,5,6,5,6,4,5,3,6,1,2,1,2,92.06,38.25,233.1,1.75,1.97,1.59,2.37,0.44,2.83,2.33,2.25,3.78,2,2,11,12
